Yr_Qt,sessions,orders,GSearchNonBrandConvRt,BSearchNonBrandConvRt,BrandConvRt,OrganicSearchConvRt,DirectTypeInConvRt
2012_Q1,1879,60,0.0324,NULL,0.0000,0.0000,0.0000
2012_Q2,11433,347,0.0284,NULL,0.0526,0.0536,0.0359
2012_Q3,16892,684,0.0384,0.0408,0.0602,0.0443,0.0498
2012_Q4,32266,1495,0.0436,0.0497,0.0531,0.0537,0.0539
2013_Q1,19833,1273,0.0612,0.0693,0.0703,0.0614,0.0753
2013_Q2,24745,1718,0.0685,0.0690,0.0679,0.0735,0.0760
2013_Q3,27663,1840,0.0639,0.0697,0.0703,0.0719,0.0734
2013_Q4,40540,2616,0.0629,0.0601,0.0801,0.0647,0.0694
2014_Q1,46779,3069,0.0693,0.0704,0.0839,0.0765,0.0756
2014_Q2,53129,3848,0.0702,0.0695,0.0804,0.0738,0.0797
2014_Q3,57141,4035,0.0703,0.0698,0.0756,0.0702,0.0733
2014_Q4,76373,5908,0.0782,0.0841,0.0812,0.0748,0.0784
2015_Q1,64198,5420,0.0861,0.0850,0.0852,0.0775,0.0821
