Yr_Qt,MrFuzzyRev,MrFuzzyMarg,LoveBearRev,LoveBearMarg,BirthdayBearRev,BirthdayBearMarg,MiniBearRev,MiniBearMarg,TotalRevenue,TotalMargin
2012_Q1,2999.40,1830.00,NULL,NULL,NULL,NULL,NULL,NULL,2999.40,1830.00
2012_Q2,17346.53,10583.50,NULL,NULL,NULL,NULL,NULL,NULL,17346.53,10583.50
2012_Q3,34193.16,20862.00,NULL,NULL,NULL,NULL,NULL,NULL,34193.16,20862.00
2012_Q4,74735.05,45597.50,NULL,NULL,NULL,NULL,NULL,NULL,74735.05,45597.50
2013_Q1,49940.01,30469.50,16437.26,10275.00,NULL,NULL,NULL,NULL,66377.27,40744.50
2013_Q2,72535.49,44255.50,15957.34,9975.00,NULL,NULL,NULL,NULL,88492.83,54230.50
2013_Q3,77784.44,47458.00,17457.09,10912.50,NULL,NULL,NULL,NULL,95241.53,58370.50
2013_Q4,107228.55,65422.50,29515.08,18450.00,6392.61,4378.50,NULL,NULL,143136.24,88251.00
2014_Q1,104829.03,63958.50,43612.73,27262.50,30123.45,20632.50,12205.93,8343.50,190771.14,120197.00
2014_Q2,141971.60,86620.00,42292.95,26437.50,39275.46,26901.00,24171.94,16523.00,247711.95,156481.50
2014_Q3,148720.25,90737.50,43912.68,27450.00,40793.13,27940.50,26811.06,18327.00,260237.12,164455.00
2014_Q4,210357.92,128344.00,62869.52,39300.00,61258.68,41958.00,42405.86,28987.00,376891.98,238589.00
2015_Q1,168416.31,102754.50,75647.39,47287.50,51416.82,35217.00,44895.03,30688.50,340375.55,215947.50
